ID_Venta,Fecha,Hora,Farmacia,Vendedor,Tipo_Cliente,ID_Medicamento,Nombre_Medicamento,Fabricante,Tipo_ATC,Cantidad,Precio_Unitario,Costo_Unitario
1013,2025-10-07,21:35:28,Las Condes,Luis Fernández,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,1,3100,1500
1014,2025-10-24,19:57:04,Maipú,Sofía Torres,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,3,2250,1200
1015,2025-10-20,13:30:56,Maipú,Laura Jiménez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,3,1500,750
1016,2025-10-18,17:56:52,Peñalolén,Ana Gómez,Mayorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,177,1350.0,750
1017,2025-10-21,17:01:49,Maipú,Sofía Torres,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,7,2300,1200
1018,2025-10-26,14:44:04,San Bernardo,Ricardo Vera,Minorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,1,1550,800
1019,2025-10-03,09:40:41,Peñalolén,María Rodríguez,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,1,3100,1500
1020,2025-10-16,14:51:31,San Bernardo,Ricardo Vera,Minorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,3,1550,800
1021,2025-10-28,09:56:41,Maipú,Laura Jiménez,Minorista,M-2,Amoxicilina 875mg,Farmacéutica B,Antibiótico,2,12750,7000
1022,2025-10-22,12:36:22,Las Condes,Carlos Ruiz,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,1,3100,1500
1023,2025-10-30,10:26:07,Las Condes,Carlos Ruiz,Mayorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,377,2475.0,1500
1024,2025-10-23,09:20:14,Las Condes,Luis Fernández,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,3,2600,1400
1025,2025-10-17,12:18:45,Maipú,Laura Jiménez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,1,1500,750
1026,2025-10-11,20:51:56,Las Condes,Luis Fernández,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,7,2300,1200
1027,2025-10-24,21:52:20,Las Condes,Luis Fernández,Minorista,M-2,Amoxicilina 875mg,Farmacéutica B,Antibiótico,5,12750,7000
1028,2025-10-09,19:38:56,Las Condes,Carlos Ruiz,Mayorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,300,2475.0,1500
1029,2025-10-07,14:42:36,Maipú,Sofía Torres,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,8,1500,750
1030,2025-10-25,09:11:23,Santiago,Pedro López,Minorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,2,1550,800
1031,2025-10-10,11:00:08,Maipú,Sofía Torres,Mayorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,402,2475.0,1500
1032,2025-10-10,10:40:24,Santiago,Juan Pérez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,5,1500,750
1033,2025-10-23,09:49:29,Las Condes,Luis Fernández,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,3,2600,1400
1034,2025-10-07,12:52:18,San Bernardo,Diego Sánchez,Minorista,M-2,Amoxicilina 875mg,Farmacéutica B,Antibiótico,1,12750,7000
1035,2025-10-15,16:10:58,Maipú,Sofía Torres,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,2,2250,1200
1036,2025-10-11,09:46:01,Peñalolén,María Rodríguez,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,4,3100,1500
1037,2025-10-21,21:20:07,Santiago,Pedro López,Hospital,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,165,1995.0,1200
1038,2025-10-10,11:46:55,Las Condes,Luis Fernández,Mayorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,424,2340.0,1400
1039,2025-10-03,13:07:24,Las Condes,Carlos Ruiz,Minorista,M-2,Amoxicilina 875mg,Farmacéutica B,Antibiótico,1,12750,7000
1040,2025-10-06,11:55:52,Las Condes,Carlos Ruiz,Mayorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,370,2340.0,1400
1041,2025-10-19,15:50:45,Peñalolén,María Rodríguez,Mayorista,M-2,Amoxicilina 875mg,Farmacéutica B,Antibiótico,66,11475.0,7000
1042,2025-10-27,20:43:46,Las Condes,Luis Fernández,Hospital,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,65,2137.5,1200
1043,2025-10-30,08:14:03,Santiago,Juan Pérez,Minorista,M-8,Aspirina 100mg,Bayer,Analgésico,1,3150,2000
1044,2025-10-07,08:51:27,Las Condes,Carlos Ruiz,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,3,2250,1200
1045,2025-10-01,09:31:40,Las Condes,Luis Fernández,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,4,2300,1200
1046,2025-10-01,09:02:44,Peñalolén,María Rodríguez,Minorista,M-8,Aspirina 100mg,Bayer,Analgésico,1,3150,2000
1047,2025-10-21,19:31:15,Maipú,Sofía Torres,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,1,1500,750
1048,2025-10-04,20:01:08,Las Condes,Carlos Ruiz,Mayorista,M-8,Aspirina 100mg,Bayer,Analgésico,449,2835.0,2000
1049,2025-10-24,08:36:30,Las Condes,Carlos Ruiz,Mayorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,463,2340.0,1400
1050,2025-10-11,17:58:16,Maipú,Sofía Torres,Mayorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,145,1395.0,800
1051,2025-10-28,16:28:37,Maipú,Sofía Torres,Mayorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,259,1350.0,750
1052,2025-10-19,20:24:16,Peñalolén,María Rodríguez,Mayorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,256,2070.0,1200
1053,2025-10-18,19:21:59,Santiago,Juan Pérez,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,6,2300,1200
1054,2025-10-27,09:49:27,Santiago,Juan Pérez,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,3,3100,1500
1055,2025-10-03,08:23:05,Las Condes,Carlos Ruiz,Minorista,M-8,Aspirina 100mg,Bayer,Analgésico,6,3150,2000
1056,2025-10-08,15:39:19,Santiago,Pedro López,Minorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,1,2100,1200
1057,2025-10-18,09:17:33,Santiago,Juan Pérez,Minorista,M-8,Aspirina 100mg,Bayer,Analgésico,3,3150,2000
1058,2025-10-10,09:51:48,Las Condes,Carlos Ruiz,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,4,2300,1200
1059,2025-10-05,08:24:16,Maipú,Sofía Torres,Mayorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,122,1350.0,750
1060,2025-10-03,19:15:43,San Bernardo,Diego Sánchez,Minorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,1,1550,800
1061,2025-10-21,17:32:13,Maipú,Laura Jiménez,Mayorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,452,2340.0,1400
1062,2025-10-30,10:59:14,Santiago,Pedro López,Hospital,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,153,2185.0,1200
1063,2025-10-20,20:07:52,Maipú,Sofía Torres,Minorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,3,2750,1500
1064,2025-10-13,13:30:29,Santiago,Pedro López,Minorista,M-2,Amoxicilina 875mg,Farmacéutica B,Antibiótico,3,12750,7000
1065,2025-10-05,18:08:10,Las Condes,Carlos Ruiz,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,5,3100,1500
1066,2025-10-22,17:44:32,Santiago,Juan Pérez,Minorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,2,2750,1500
1067,2025-10-25,14:18:49,Santiago,Juan Pérez,Mayorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,273,1890.0,1200
1068,2025-10-04,12:50:46,Las Condes,Carlos Ruiz,Mayorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,489,2790.0,1500
1069,2025-10-23,16:34:51,San Bernardo,Ricardo Vera,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,5,3100,1500
1070,2025-10-31,21:29:18,Maipú,Laura Jiménez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,5,1500,750
1071,2025-10-19,08:24:33,Santiago,Pedro López,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,1,3100,1500
1072,2025-10-06,14:12:41,San Bernardo,Diego Sánchez,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,2,2600,1400
1073,2025-10-30,16:04:25,Santiago,Juan Pérez,Minorista,M-2,Amoxicilina 875mg,Farmacéutica B,Antibiótico,3,12750,7000
1074,2025-10-02,17:04:33,Santiago,Juan Pérez,Mayorista,M-2,Amoxicilina 875mg,Farmacéutica B,Antibiótico,245,11475.0,7000
1075,2025-10-10,12:46:05,Santiago,Pedro López,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,1,2250,1200
1076,2025-10-15,10:07:52,Peñalolén,Ana Gómez,Mayorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,104,2340.0,1400
1077,2025-10-15,13:12:55,Santiago,Pedro López,Mayorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,276,1395.0,800
1078,2025-10-24,20:15:14,Santiago,Juan Pérez,Minorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,1,2100,1200
1079,2025-10-01,09:38:30,Santiago,Pedro López,Mayorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,203,2025.0,1200
1080,2025-10-05,16:47:55,Santiago,Pedro López,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,1,2600,1400
1081,2025-10-23,16:53:34,Maipú,Sofía Torres,Minorista,M-2,Amoxicilina 875mg,Farmacéutica B,Antibiótico,3,12750,7000
1082,2025-10-22,12:59:52,Santiago,Pedro López,Mayorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,354,2025.0,1200
1083,2025-10-09,15:44:03,San Bernardo,Diego Sánchez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,4,1500,750
1084,2025-10-02,10:17:05,Las Condes,Carlos Ruiz,Minorista,M-8,Aspirina 100mg,Bayer,Analgésico,6,3150,2000
1085,2025-10-09,20:37:59,Maipú,Laura Jiménez,Minorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,1,2750,1500
1086,2025-10-07,19:29:16,Las Condes,Luis Fernández,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,2,2600,1400
1087,2025-10-08,20:33:10,Las Condes,Luis Fernández,Mayorista,M-8,Aspirina 100mg,Bayer,Analgésico,495,2835.0,2000
1088,2025-10-12,17:01:36,Las Condes,Luis Fernández,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,5,3100,1500
1089,2025-10-13,08:09:43,Maipú,Sofía Torres,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,5,3100,1500
1090,2025-10-09,08:32:30,Las Condes,Luis Fernández,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,1,2250,1200
1091,2025-10-23,08:22:27,Peñalolén,Ana Gómez,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,3,2600,1400
1092,2025-10-16,10:13:31,Las Condes,Carlos Ruiz,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,3,1500,750
1093,2025-10-25,13:34:10,Santiago,Juan Pérez,Mayorista,M-2,Amoxicilina 875mg,Farmacéutica B,Antibiótico,265,11475.0,7000
1094,2025-10-22,14:13:31,Santiago,Juan Pérez,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,3,2250,1200
1095,2025-10-18,10:32:27,Santiago,Juan Pérez,Minorista,M-2,Amoxicilina 875mg,Farmacéutica B,Antibiótico,4,12750,7000
1096,2025-10-22,16:28:43,Las Condes,Carlos Ruiz,Minorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,2,2100,1200
1097,2025-10-21,20:43:39,Maipú,Sofía Torres,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,4,3100,1500
1098,2025-10-09,14:21:16,San Bernardo,Diego Sánchez,Minorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,3,2750,1500
1099,2025-10-11,11:39:05,Santiago,Juan Pérez,Hospital,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,157,1995.0,1200
1100,2025-10-02,14:44:11,Las Condes,Carlos Ruiz,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,3,2600,1400
1101,2025-10-09,18:08:38,San Bernardo,Diego Sánchez,Hospital,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,85,1995.0,1200
1102,2025-10-03,12:33:23,Maipú,Laura Jiménez,Minorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,1,1550,800
1103,2025-10-21,21:51:52,Maipú,Sofía Torres,Minorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,3,1550,800
1104,2025-10-26,12:05:36,Las Condes,Carlos Ruiz,Minorista,M-2,Amoxicilina 875mg,Farmacéutica B,Antibiótico,2,12750,7000
1105,2025-10-21,15:50:18,Las Condes,Carlos Ruiz,Minorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,2,2100,1200
1106,2025-10-03,19:45:11,San Bernardo,Ricardo Vera,Minorista,M-8,Aspirina 100mg,Bayer,Analgésico,5,3150,2000
1107,2025-10-18,14:56:30,Santiago,Juan Pérez,Mayorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,262,2790.0,1500
1108,2025-10-24,16:04:06,Santiago,Pedro López,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,3,3100,1500
1109,2025-10-07,18:03:16,Santiago,Pedro López,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,8,1500,750
1110,2025-10-27,16:00:39,Las Condes,Carlos Ruiz,Mayorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,198,2475.0,1500
1111,2025-10-04,15:20:36,Peñalolén,María Rodríguez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,3,1500,750
1112,2025-10-24,09:52:42,Santiago,Juan Pérez,Minorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,2,2100,1200
1113,2025-10-25,21:18:53,Maipú,Sofía Torres,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,1,3100,1500
1114,2025-10-21,11:33:05,Santiago,Juan Pérez,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,2,2250,1200
1115,2025-10-18,11:01:14,Las Condes,Carlos Ruiz,Mayorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,281,2070.0,1200
1116,2025-10-03,12:42:04,San Bernardo,Ricardo Vera,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,1,2250,1200
1117,2025-10-09,20:36:35,Maipú,Sofía Torres,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,3,1500,750
1118,2025-10-10,14:30:03,Santiago,Juan Pérez,Mayorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,84,1395.0,800
1119,2025-10-20,09:18:07,Las Condes,Carlos Ruiz,Hospital,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,156,1425.0,750
1120,2025-10-08,18:12:09,Maipú,Sofía Torres,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,1,2250,1200
1121,2025-10-10,15:11:33,Peñalolén,María Rodríguez,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,5,3100,1500
1122,2025-10-15,12:38:54,Peñalolén,María Rodríguez,Mayorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,335,2070.0,1200
1123,2025-10-27,09:11:24,Las Condes,Luis Fernández,Mayorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,444,2790.0,1500
1124,2025-10-19,12:03:34,San Bernardo,Diego Sánchez,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,3,2600,1400
1125,2025-10-26,10:12:17,Santiago,Juan Pérez,Mayorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,499,2475.0,1500
1126,2025-10-21,08:04:20,Las Condes,Carlos Ruiz,Mayorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,179,1890.0,1200
1127,2025-10-31,11:47:44,Santiago,Pedro López,Minorista,M-8,Aspirina 100mg,Bayer,Analgésico,5,3150,2000
1128,2025-10-17,21:37:15,Las Condes,Luis Fernández,Mayorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,255,2790.0,1500
1129,2025-10-22,13:05:04,Peñalolén,María Rodríguez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,4,1500,750
1130,2025-10-23,21:11:49,Peñalolén,Ana Gómez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,4,1500,750
1131,2025-10-13,09:48:28,Santiago,Pedro López,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,2,2250,1200
1132,2025-10-18,18:44:45,Maipú,Sofía Torres,Minorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,3,1550,800
1133,2025-10-16,10:48:41,Santiago,Pedro López,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,3,2250,1200
1134,2025-10-07,21:44:32,San Bernardo,Ricardo Vera,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,1,2300,1200
1135,2025-10-06,11:18:50,Las Condes,Luis Fernández,Mayorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,69,1395.0,800
1136,2025-10-11,14:46:43,Las Condes,Luis Fernández,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,5,3100,1500
1137,2025-10-21,15:59:23,Santiago,Juan Pérez,Minorista,M-8,Aspirina 100mg,Bayer,Analgésico,5,3150,2000
1138,2025-10-20,13:38:05,Maipú,Laura Jiménez,Minorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,2,1550,800
1139,2025-10-31,12:41:53,Las Condes,Luis Fernández,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,8,2300,1200
1140,2025-10-11,16:19:59,Maipú,Sofía Torres,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,3,2250,1200
1141,2025-10-09,14:03:10,Las Condes,Carlos Ruiz,Minorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,1,1550,800
1142,2025-10-29,10:45:46,Santiago,Juan Pérez,Minorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,3,2750,1500
1143,2025-10-09,10:24:07,Peñalolén,Ana Gómez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,8,1500,750
1144,2025-10-31,14:08:35,Maipú,Laura Jiménez,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,1,2600,1400
1145,2025-10-24,15:02:07,Maipú,Sofía Torres,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,5,3100,1500
1146,2025-10-29,18:03:27,Santiago,Juan Pérez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,1,1500,750
1147,2025-10-05,18:25:50,Santiago,Pedro López,Minorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,2,2100,1200
1148,2025-10-07,17:29:43,Las Condes,Luis Fernández,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,3,2300,1200
1149,2025-10-05,15:41:37,Las Condes,Carlos Ruiz,Mayorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,387,2070.0,1200
1150,2025-10-13,13:52:48,Santiago,Pedro López,Minorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,1,2750,1500
1151,2025-10-03,13:49:08,Maipú,Sofía Torres,Mayorista,M-8,Aspirina 100mg,Bayer,Analgésico,188,2835.0,2000
1152,2025-10-07,20:28:46,Las Condes,Carlos Ruiz,Minorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,1,2750,1500
1153,2025-10-23,16:13:07,San Bernardo,Diego Sánchez,Minorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,1,2750,1500
1154,2025-10-26,11:56:06,Las Condes,Carlos Ruiz,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,8,2300,1200
1155,2025-10-16,15:48:25,Santiago,Juan Pérez,Hospital,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,80,2137.5,1200
1156,2025-10-19,16:41:44,San Bernardo,Ricardo Vera,Mayorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,211,1890.0,1200
1157,2025-10-14,13:55:58,Las Condes,Luis Fernández,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,8,2300,1200
1158,2025-10-09,15:03:51,Santiago,Juan Pérez,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,4,2300,1200
1159,2025-10-06,13:49:51,Peñalolén,Ana Gómez,Minorista,M-8,Aspirina 100mg,Bayer,Analgésico,1,3150,2000
1160,2025-10-07,17:39:27,Maipú,Laura Jiménez,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,2,2250,1200
1161,2025-10-16,12:13:30,Las Condes,Carlos Ruiz,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,2,2250,1200
1162,2025-10-11,19:11:36,Peñalolén,María Rodríguez,Minorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,3,2100,1200
1163,2025-10-12,17:56:12,Las Condes,Luis Fernández,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,3,2600,1400
1164,2025-10-29,10:00:25,Santiago,Juan Pérez,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,5,2300,1200
1165,2025-10-25,17:16:23,San Bernardo,Diego Sánchez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,6,1500,750
1166,2025-10-18,17:38:04,Maipú,Laura Jiménez,Hospital,M-7,Metformina 850mg,Laboratorios G,Antidiabético,92,2612.5,1500
1167,2025-10-02,09:45:30,Las Condes,Carlos Ruiz,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,4,3100,1500
1168,2025-10-22,15:45:07,Las Condes,Carlos Ruiz,Minorista,M-8,Aspirina 100mg,Bayer,Analgésico,8,3150,2000
1169,2025-10-06,20:49:52,Las Condes,Luis Fernández,Minorista,M-8,Aspirina 100mg,Bayer,Analgésico,7,3150,2000
1170,2025-10-06,09:45:44,San Bernardo,Ricardo Vera,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,3,2600,1400
1171,2025-10-02,15:17:09,San Bernardo,Ricardo Vera,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,7,1500,750
1172,2025-10-23,20:57:13,Las Condes,Luis Fernández,Minorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,3,2750,1500
1173,2025-10-28,21:32:46,Santiago,Juan Pérez,Minorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,2,2100,1200
1174,2025-10-08,19:39:07,Peñalolén,María Rodríguez,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,7,2300,1200
1175,2025-10-07,08:12:51,Santiago,Pedro López,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,7,1500,750
1176,2025-10-20,08:47:05,San Bernardo,Ricardo Vera,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,2,2600,1400
1177,2025-10-05,18:48:25,Santiago,Pedro López,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,3,2300,1200
1178,2025-10-04,18:28:24,San Bernardo,Diego Sánchez,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,3,2300,1200
1179,2025-10-01,10:49:08,Santiago,Juan Pérez,Mayorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,419,2475.0,1500
1180,2025-10-14,14:26:44,Maipú,Laura Jiménez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,2,1500,750
1181,2025-10-22,11:04:37,Maipú,Sofía Torres,Mayorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,178,1395.0,800
1182,2025-10-28,16:06:24,Maipú,Sofía Torres,Hospital,M-7,Metformina 850mg,Laboratorios G,Antidiabético,49,2612.5,1500
1183,2025-10-06,09:53:45,San Bernardo,Ricardo Vera,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,8,1500,750
1184,2025-10-10,20:12:34,San Bernardo,Diego Sánchez,Minorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,3,2750,1500
1185,2025-10-08,12:21:47,Peñalolén,Ana Gómez,Mayorista,M-8,Aspirina 100mg,Bayer,Analgésico,290,2835.0,2000
1186,2025-10-20,12:36:25,Las Condes,Carlos Ruiz,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,2,2250,1200
1187,2025-10-13,20:21:50,Peñalolén,Ana Gómez,Minorista,M-7,Metformina 850mg,Laboratorios G,Antidiabético,1,2750,1500
1188,2025-10-26,16:08:01,Las Condes,Luis Fernández,Minorista,M-5,Omeprazol 20mg,Laboratorios E,Antiácido,3,1550,800
